Date, NCEP/NCAR R1 Precipitable Water (kg/m^2) 30N-40N;-95E--105E
2023-05-01,    1.035
2023-06-01,   -0.007
2023-07-01,   -0.231
2023-08-01,   -0.374
2023-09-01,   -0.349
2023-10-01,    0.416
2023-11-01,   -0.495
2023-12-01,   -0.299
2024-01-01,   -0.200
2024-02-01,    0.075
2024-03-01,    0.485
2024-04-01,    1.435
2024-05-01,    1.202
2024-06-01,    0.925
2024-07-01,    0.305
2024-08-01,    0.464
2024-09-01,   -0.177
2024-10-01,   -0.689
2024-11-01,    1.095
2024-12-01,    0.994
2025-01-01,   -0.713
2025-02-01,    0.192
2025-03-01,   -0.561
2025-04-01,    1.809
2025-05-01,    0.101
2025-06-01,    1.344
2025-07-01,    1.363
2025-08-01,    0.452
2025-09-01,   -0.099
2025-10-01,    0.810
2025-11-01,    0.562
2025-12-01,-9999.000
